dataset_id,req_id,req_category,requirement_text,test_case_id,test_case_title,preconditions,test_steps,expected_results
NAV-TC-001,Req-01,Functional,"The navigation system shall calculate a route from a user-specified origin to a user-specified destination using the current road network data.",TC-01-01,Route calculation with valid origin/destination,"Map data loaded; GPS available; App on main screen","1) Enter origin A and destination B. 2) Tap 'Start' or 'Go'.","A route is calculated using current road network data; route displayed on map; guidance ready."
NAV-TC-002,Req-01,Functional,"The navigation system shall calculate a route from a user-specified origin to a user-specified destination using the current road network data.",TC-01-02,Route calculation with swapped inputs,"Map data loaded; GPS available","1) Enter destination first, then origin. 2) Request route calculation.","System correctly interprets origin/destination and calculates a route without errors."
NAV-TC-003,Req-01,Functional,"The navigation system shall calculate a route from a user-specified origin to a user-specified destination using the current road network data.",TC-01-03,Route calculation with coordinates,"Map data loaded; GPS available","1) Input origin coordinates and destination coordinates. 2) Request route.","System calculates a valid route between coordinate points using road network."
NAV-TC-004,Req-02,Functional,"The navigation system shall provide at least one alternative route when more than one feasible route exists.",TC-02-01,Alternative route offered in dense area,"Map data loaded; Area with multiple feasible routes","1) Set origin/destination with multiple known route options. 2) Calculate route.","System displays primary route and at least one alternative route option."
NAV-TC-005,Req-02,Functional,"The navigation system shall provide at least one alternative route when more than one feasible route exists.",TC-02-02,Alternative route selection updates guidance,"Route options shown","1) Select an alternative route from the list. 2) Start navigation.","Guidance follows the selected alternative route; map and maneuvers match selection."
NAV-TC-006,Req-02,Functional,"The navigation system shall provide at least one alternative route when more than one feasible route exists.",TC-02-03,No alternatives when only one feasible route,"Map data loaded; Remote area with only one feasible path","1) Calculate route where only one feasible route exists.","System does not invent alternatives; primary route only; no misleading options."
NAV-TC-007,Req-03,Functional,"The navigation system shall provide turn-by-turn guidance to the driver throughout the active route.",TC-03-01,Maneuver prompts appear throughout route,"Navigation active; Vehicle moving","1) Start route guidance. 2) Drive through at least 3 maneuvers.","System provides turn-by-turn instructions for each maneuver until arrival."
NAV-TC-008,Req-03,Functional,"The navigation system shall provide turn-by-turn guidance to the driver throughout the active route.",TC-03-02,Guidance includes distance-to-maneuver,"Navigation active","1) Drive toward next maneuver. 2) Observe instruction panel.","Instruction includes next action and distance/time to the maneuver."
NAV-TC-009,Req-03,Functional,"The navigation system shall provide turn-by-turn guidance to the driver throughout the active route.",TC-03-03,Guidance resumes after brief interruption,"Navigation active","1) Start guidance. 2) Switch to another screen/app briefly. 3) Return to navigation.","Guidance remains active and continues providing correct next maneuver."
NAV-TC-010,Req-04,Functional,"The navigation system shall continuously determine the vehicle’s current position while navigation is active.",TC-04-01,Position updates while moving,"Navigation active; GPS available","1) Start navigation. 2) Drive continuously for 2 minutes.","Vehicle position continues updating; location marker follows road progression."
NAV-TC-011,Req-04,Functional,"The navigation system shall continuously determine the vehicle’s current position while navigation is active.",TC-04-02,Position continuity through short GPS fluctuation,"Navigation active; Simulate brief GPS noise","1) Start navigation. 2) Introduce short signal fluctuation (<10s).","System continues position determination without freezing; may smooth but remains plausible."
NAV-TC-012,Req-04,Functional,"The navigation system shall continuously determine the vehicle’s current position while navigation is active.",TC-04-03,Position correct after tunnel exit,"Navigation active; Route includes tunnel/covered area","1) Start navigation. 2) Enter tunnel. 3) Exit tunnel.","System reacquires and corrects position shortly after exit; guidance continues."
NAV-TC-013,Req-05,Functional,"The navigation system shall automatically recalculate the route when the vehicle deviates from the planned route.",TC-05-01,Automatic reroute after wrong turn,"Navigation active; Vehicle moving","1) Start route. 2) Intentionally take a wrong turn/off-route road.","System detects deviation and automatically triggers rerouting to destination."
NAV-TC-014,Req-05,Functional,"The navigation system shall automatically recalculate the route when the vehicle deviates from the planned route.",TC-05-02,Reroute preserves destination and continues guidance,"Navigation active","1) Deviate from route. 2) Observe new route generation.","New route still targets original destination; turn-by-turn guidance updates accordingly."
NAV-TC-015,Req-05,Functional,"The navigation system shall automatically recalculate the route when the vehicle deviates from the planned route.",TC-05-03,No reroute when still on-route,"Navigation active","1) Drive normally on planned route. 2) Observe rerouting behavior.","System does not reroute unnecessarily; planned route remains active."
NAV-TC-016,Req-06,Functional,"The navigation system shall consider real-time traffic information when calculating or recalculating routes, if such data is available.",TC-06-01,Traffic used when available for initial route,"Traffic data available; Network connected","1) Enable traffic layer. 2) Calculate route during known congestion.","Route considers traffic (e.g., suggests faster option); ETA reflects traffic conditions."
NAV-TC-017,Req-06,Functional,"The navigation system shall consider real-time traffic information when calculating or recalculating routes, if such data is available.",TC-06-02,Traffic considered during reroute,"Navigation active; Traffic data available","1) Deviate from route. 2) Observe rerouted path/ETA.","Reroute uses traffic data; updated route/ETA reflect real-time conditions."
NAV-TC-018,Req-06,Functional,"The navigation system shall consider real-time traffic information when calculating or recalculating routes, if such data is available.",TC-06-03,Graceful behavior when traffic unavailable,"Traffic data unavailable (offline/disabled)","1) Disable traffic or disconnect network. 2) Calculate route.","Route still calculates; system indicates traffic not available or omits traffic-based adjustments."
NAV-TC-019,Req-07,Functional,"The navigation system shall allow the user to search for destinations by address, point of interest, or geographic coordinates.",TC-07-01,Search by full address,"Map/search available","1) Enter a valid street address. 2) Execute search. 3) Select result.","Destination result found; can be set as destination; route can be calculated."
NAV-TC-020,Req-07,Functional,"The navigation system shall allow the user to search for destinations by address, point of interest, or geographic coordinates.",TC-07-02,Search by POI category/name,"Map/search available","1) Search for a POI (e.g., 'gas station' or a known place name). 2) Select a result.","POI results shown; selected POI can be used as destination."
NAV-TC-021,Req-07,Functional,"The navigation system shall allow the user to search for destinations by address, point of interest, or geographic coordinates.",TC-07-03,Search by geographic coordinates,"Map/search available","1) Enter coordinates in supported format (lat/long). 2) Search and select.","System resolves coordinates to a map location and allows navigation to it."
NAV-TC-022,Req-08,Functional,"The navigation system shall allow the user to configure route preferences, including avoidance of toll roads and highways.",TC-08-01,Avoid toll roads preference affects route,"Preferences available; Area with toll option","1) Enable 'Avoid tolls'. 2) Calculate route across toll region.","Route avoids toll roads when feasible; toll segments are excluded."
NAV-TC-023,Req-08,Functional,"The navigation system shall allow the user to configure route preferences, including avoidance of toll roads and highways.",TC-08-02,Avoid highways preference affects route,"Preferences available; Area with highway option","1) Enable 'Avoid highways'. 2) Calculate route that usually uses highway.","Route reduces/avoids highways when feasible; guidance matches preference."
NAV-TC-024,Req-08,Functional,"The navigation system shall allow the user to configure route preferences, including avoidance of toll roads and highways.",TC-08-03,Preference toggle updates recalculation,"Navigation active","1) Start route. 2) Toggle 'Avoid tolls' mid-navigation. 3) Recalculate route.","System recalculates using updated preferences (manual or automatic trigger) without crash."
NAV-TC-025,Req-09,Functional,"The navigation system shall notify the user when the destination has been reached.",TC-09-01,Arrival notification triggers at destination,"Navigation active; Route end reachable","1) Navigate to destination. 2) Arrive within defined arrival radius.","System shows arrival message and/or plays audio cue indicating destination reached."
NAV-TC-026,Req-09,Functional,"The navigation system shall notify the user when the destination has been reached.",TC-09-02,Arrival triggers only once,"Navigation active","1) Arrive at destination. 2) Drive slightly past and stop again near destination.","Arrival notification does not spam repeatedly; behavior consistent with design (e.g., once per trip)."
NAV-TC-027,Req-09,Functional,"The navigation system shall notify the user when the destination has been reached.",TC-09-03,Arrival notification includes destination label,"Navigation active; Destination named","1) Navigate to a named POI. 2) Arrive.","Notification references destination (name/address) clearly."
NAV-TC-028,Req-10,Functional,"The navigation system shall display the current route and vehicle position on a map during navigation.",TC-10-01,Map shows route line and position marker,"Navigation active","1) Start navigation. 2) Observe map display.","Map shows route polyline and current vehicle position marker."
NAV-TC-029,Req-10,Functional,"The navigation system shall display the current route and vehicle position on a map during navigation.",TC-10-02,Map remains visible during maneuvers,"Navigation active","1) Drive through multiple maneuvers. 2) Observe map persistence.","Map continues to display route and position throughout navigation."
NAV-TC-030,Req-10,Functional,"The navigation system shall display the current route and vehicle position on a map during navigation.",TC-10-03,Map updates orientation/zoom appropriately,"Navigation active","1) Start navigation. 2) Observe map as speed changes and turns occur.","Map updates to maintain usable view (e.g., follows position); route and marker remain visible."
NAV-TC-031,Req-11,Usability,"The navigation system shall present navigation instructions in a manner that minimizes driver distraction during vehicle operation.",TC-11-01,Essential-only instruction display while moving,"Vehicle in motion; Navigation active","1) Drive with active guidance. 2) Observe instruction UI.","UI prioritizes essential maneuvers; avoids excessive text/animations/pop-ups that distract."
NAV-TC-032,Req-11,Usability,"The navigation system shall present navigation instructions in a manner that minimizes driver distraction during vehicle operation.",TC-11-02,Suppress non-critical prompts near maneuvers,"Vehicle in motion; Navigation active","1) Approach a turn. 2) Trigger non-critical notification (e.g., tips/ads/POI suggestions).","Non-critical content is suppressed/delayed/minimized so maneuver instruction remains dominant."
NAV-TC-033,Req-11,Usability,"The navigation system shall present navigation instructions in a manner that minimizes driver distraction during vehicle operation.",TC-11-03,Readable glance-friendly instructions,"Vehicle in motion; Day/night modes available","1) Drive in day mode and night mode. 2) Observe legibility and contrast.","Instructions are readable quickly (clear fonts/icons/contrast) in both modes."
NAV-TC-034,Req-12,Usability,"The navigation system shall provide spoken navigation instructions while the vehicle is in motion.",TC-12-01,Voice instructions play during motion,"Vehicle in motion; Volume audible; Navigation active","1) Start navigation. 2) Approach maneuver while driving.","System plays spoken instruction for upcoming maneuver."
NAV-TC-035,Req-12,Usability,"The navigation system shall provide spoken navigation instructions while the vehicle is in motion.",TC-12-02,Voice instructions match visual guidance,"Vehicle in motion; Navigation active","1) Observe next maneuver text/icon. 2) Listen to voice prompt.","Spoken instruction content matches the displayed maneuver and timing."
NAV-TC-036,Req-12,Usability,"The navigation system shall provide spoken navigation instructions while the vehicle is in motion.",TC-12-03,Voice guidance continues after reroute,"Vehicle in motion; Navigation active","1) Deviate from route. 2) Allow reroute. 3) Continue driving.","Spoken instructions continue correctly on the new route."
NAV-TC-037,Req-13,Usability,"The navigation system shall allow common navigation tasks to be completed with no more than three user interactions per task while driving.",TC-13-01,Start navigation within 3 interactions,"Vehicle in motion; System ready","1) From main map, set a recent destination and start guidance, counting interactions.","Task completes in ≤3 interactions (e.g., tap recent, tap start, confirm)."
NAV-TC-038,Req-13,Usability,"The navigation system shall allow common navigation tasks to be completed with no more than three user interactions per task while driving.",TC-13-02,Cancel route within 3 interactions,"Vehicle in motion; Navigation active","1) Cancel active route, counting interactions.","Route canceled in ≤3 interactions; system returns to non-guidance state."
NAV-TC-039,Req-13,Usability,"The navigation system shall allow common navigation tasks to be completed with no more than three user interactions per task while driving.",TC-13-03,Find nearby POI and navigate within 3 interactions,"Vehicle in motion; Navigation inactive","1) Choose nearby POI category and start navigation, counting interactions.","Common flow completes in ≤3 interactions (or system offers simplified driving UI)."
NAV-TC-040,Req-14,Performance,"The navigation system shall calculate an initial route within 5 seconds under normal operating conditions.",TC-14-01,Initial route completes within 5 seconds,"Normal operating conditions; Traffic optional; Map data loaded","1) Start route calculation between two valid points. 2) Measure time to route ready.","Route calculation completes within 5.0 seconds."
NAV-TC-041,Req-14,Performance,"The navigation system shall calculate an initial route within 5 seconds under normal operating conditions.",TC-14-02,Initial route timing repeated trials,"Normal operating conditions","1) Run 20 route calculations across varied distances. 2) Record durations.","All (or defined percentile threshold per test plan) complete within 5 seconds."
NAV-TC-042,Req-14,Performance,"The navigation system shall calculate an initial route within 5 seconds under normal operating conditions.",TC-14-03,Initial route time with preferences enabled,"Normal operating conditions; Avoid tolls/highways enabled","1) Enable route preferences. 2) Calculate route. 3) Measure duration.","Route calculation completes within 5 seconds even with preferences enabled."
NAV-TC-043,Req-15,Performance,"The navigation system shall recalculate a route within 3 seconds after detecting a route deviation.",TC-15-01,Reroute completes within 3 seconds after deviation,"Navigation active; Vehicle moving","1) Deviate from route. 2) Measure from deviation detection to new route ready.","Recalculated route is ready within 3.0 seconds after deviation detection."
NAV-TC-044,Req-15,Performance,"The navigation system shall recalculate a route within 3 seconds after detecting a route deviation.",TC-15-02,Reroute timing across multiple deviations,"Navigation active","1) Perform 10 deviations at different speeds. 2) Record reroute times.","Each reroute completes within 3 seconds (or within defined acceptance threshold)."
NAV-TC-045,Req-15,Performance,"The navigation system shall recalculate a route within 3 seconds after detecting a route deviation.",TC-15-03,Reroute time with traffic enabled,"Traffic data available; Navigation active","1) Enable traffic. 2) Deviate and measure reroute duration.","Reroute completes within 3 seconds with traffic consideration active."
NAV-TC-046,Req-16,Performance,"The navigation system shall update the displayed vehicle position at least once per second while navigation is active.",TC-16-01,Position update rate meets 1Hz minimum,"Navigation active; Logging available","1) Drive for 60 seconds. 2) Count UI position updates or logged updates.","Displayed position updates ≥60 times in 60 seconds (≥1 update/sec)."
NAV-TC-047,Req-16,Performance,"The navigation system shall update the displayed vehicle position at least once per second while navigation is active.",TC-16-02,Update rate maintained during turns,"Navigation active","1) Drive through frequent turns for 60 seconds. 2) Observe update cadence.","Update rate stays at least once per second; no prolonged freezes."
NAV-TC-048,Req-16,Performance,"The navigation system shall update the displayed vehicle position at least once per second while navigation is active.",TC-16-03,Update rate maintained under typical CPU load,"Navigation active; Normal background load","1) Start navigation. 2) Introduce typical system load. 3) Measure update rate.","Position updates remain ≥1Hz under normal operating conditions."
NAV-TC-049,Req-17,Reliability & Safety,"The navigation system shall be available for use at least 99.5% of the time during vehicle operation.",TC-17-01,Availability measured over operational period,"Vehicle operation hours defined; Logging available","1) Operate system over defined period (e.g., fleet test). 2) Log uptime/downtime.","Availability ≥99.5% during vehicle operation per measurement method."
NAV-TC-050,Req-17,Reliability & Safety,"The navigation system shall be available for use at least 99.5% of the time during vehicle operation.",TC-17-02,Recovery from transient failure,"System running; Induce transient service restart","1) Trigger controlled restart/failure of nav service. 2) Observe recovery.","System returns to usable state quickly; downtime contributes within 99.5% target."
NAV-TC-051,Req-17,Reliability & Safety,"The navigation system shall be available for use at least 99.5% of the time during vehicle operation.",TC-17-03,No crash during extended navigation session,"Navigation active for extended period","1) Run navigation continuously for long duration (e.g., 4 hours).","No crashes; system remains usable; guidance continues."
NAV-TC-052,Req-18,Reliability & Safety,"The navigation system shall not provide navigation instructions that conflict with detected road restrictions (e.g., one-way streets).",TC-18-01,No instruction against one-way restriction,"Map data includes one-way; Restrictions detectable","1) Plan route near one-way streets. 2) Start navigation.","System does not instruct driving the wrong way on one-way roads."
NAV-TC-053,Req-18,Reliability & Safety,"The navigation system shall not provide navigation instructions that conflict with detected road restrictions (e.g., one-way streets).",TC-18-02,No instruction to enter restricted road segment,"Restrictions detectable (e.g., no-entry/time restriction)","1) Navigate near restricted segment. 2) Observe routing and instructions.","System avoids restricted segment and does not instruct illegal entry when restriction detected."
NAV-TC-054,Req-18,Reliability & Safety,"The navigation system shall not provide navigation instructions that conflict with detected road restrictions (e.g., one-way streets).",TC-18-03,Reroute respects restrictions after deviation,"Navigation active; Restrictions detectable","1) Deviate toward restricted road. 2) Allow reroute.","Rerouted guidance avoids conflicting instructions with detected restrictions."
NAV-TC-055,Req-19,Reliability & Safety,"The navigation system shall notify the user if accurate positioning cannot be determined for more than 10 seconds.",TC-19-01,Notify after >10 seconds positioning loss,"Navigation active; Simulate GPS loss >10s","1) Start navigation. 2) Block GPS/positioning for 11+ seconds.","System notifies user that accurate positioning is unavailable after 10 seconds threshold."
NAV-TC-056,Req-19,Reliability & Safety,"The navigation system shall notify the user if accurate positioning cannot be determined for more than 10 seconds.",TC-19-02,No notify for short positioning loss,"Navigation active; Simulate GPS loss <10s","1) Block positioning for 5 seconds. 2) Restore signal.","No loss-of-position notification is shown (or it clears quickly per design)."
NAV-TC-057,Req-19,Reliability & Safety,"The navigation system shall notify the user if accurate positioning cannot be determined for more than 10 seconds.",TC-19-03,Notification remains until accuracy restored,"Navigation active; GPS loss >10s","1) Lose positioning for >10s. 2) Restore GPS. 3) Observe UI.","Notification appears after threshold and clears/updates once accurate positioning returns."
NAV-TC-058,Req-20,Maintainability & Security,"The navigation system shall support updating map data without requiring replacement of the entire system software.",TC-20-01,Map update installs without full software replacement,"Update package available","1) Initiate map update. 2) Complete installation. 3) Verify nav app version unchanged (unless designed).","Map data updates successfully; core system software replacement not required."
NAV-TC-059,Req-20,Maintainability & Security,"The navigation system shall support updating map data without requiring replacement of the entire system software.",TC-20-02,Navigation works after map update,"Map update completed","1) Calculate route before update. 2) Update maps. 3) Calculate route again.","System functions normally after update; routes reflect updated map content."
NAV-TC-060,Req-20,Maintainability & Security,"The navigation system shall support updating map data without requiring replacement of the entire system software.",TC-20-03,Map update failure handling,"Simulate interrupted update","1) Start map update. 2) Interrupt power/network. 3) Restart system.","System recovers safely; does not brick; user can retry update or rollback."
NAV-TC-061,Req-21,Maintainability & Security,"The navigation system shall store user preferences in a manner that persists across system restarts.",TC-21-01,Preferences persist after restart,"Preferences available","1) Set preferences (avoid tolls, units, voice). 2) Restart system. 3) Reopen nav.","Preferences remain unchanged after restart."
NAV-TC-062,Req-21,Maintainability & Security,"The navigation system shall store user preferences in a manner that persists across system restarts.",TC-21-02,Preferences apply to new route after restart,"Preferences set; System restarted","1) After restart, calculate a new route.","New route reflects stored preferences (e.g., avoids tolls if enabled)."
NAV-TC-063,Req-21,Maintainability & Security,"The navigation system shall store user preferences in a manner that persists across system restarts.",TC-21-03,Preferences persist across power cycle,"Preferences set","1) Turn vehicle/system off fully. 2) Turn on again. 3) Check preferences.","Preferences persist across full power cycle."
NAV-TC-064,Req-22,Maintainability & Security,"The navigation system shall protect stored location and route history data from unauthorized access.",TC-22-01,Route history not accessible without authorization,"Route history enabled and present; Unauthorized user context available","1) Attempt to access stored history via restricted UI/API without auth.","Unauthorized access is blocked; data not disclosed."
NAV-TC-065,Req-22,Maintainability & Security,"The navigation system shall protect stored location and route history data from unauthorized access.",TC-22-02,Data protected at rest (basic check),"Stored history present; Access to storage validation method available","1) Inspect stored files/logs via allowed test hooks. 2) Attempt to read raw sensitive content.","Stored data is encrypted/obfuscated per design; sensitive data not readable in plaintext."
NAV-TC-066,Req-22,Maintainability & Security,"The navigation system shall protect stored location and route history data from unauthorized access.",TC-22-03,Session logout prevents history access,"History enabled; User can logout/lock","1) Save route history. 2) Lock/logout profile. 3) Attempt to view history.","History access requires authorization; locked state prevents viewing."
NAV-TC-067,Req-23,Maintainability & Security,"The navigation system shall allow the user to enable or disable storage of route history.",TC-23-01,User can disable route history storage,"Settings available","1) Disable route history. 2) Navigate to a destination. 3) Check history list.","No new route history is stored while disabled."
NAV-TC-068,Req-23,Maintainability & Security,"The navigation system shall allow the user to enable or disable storage of route history.",TC-23-02,User can enable route history storage,"Settings available","1) Enable route history. 2) Navigate to a destination. 3) Check history list.","Route is saved to history when enabled."
NAV-TC-069,Req-23,Maintainability & Security,"The navigation system shall allow the user to enable or disable storage of route history.",TC-23-03,Toggle takes effect immediately,"Settings available; Existing history present","1) Disable history. 2) Start a route. 3) Re-enable history. 4) Start another route.","Routes are saved only during enabled periods; behavior matches toggle state."
